Year,Country,"Agriculture, value added (annual % growth)","Agriculture, value added (% of GDP)"
2007,Australia,-15.03895967,2.204037248
2008,Australia,8.092951201,2.341765208
2009,Australia,17.08086107,2.295077016
2010,Australia,-0.749155364,2.201174832
2011,Australia,3.450912679,2.280410601
2012,Australia,0.972841508,2.258752004
2013,Australia,-0.72732425,2.282509346
2014,Australia,1.144175646,2.220048428
2015,Australia,1.345249294,2.372696749
2016,Australia,-6.390977444,2.430579825
